sk_fato,data_referencia,sk_indicador,valor,preenchido,vigencia_inicio,vigencia_fim,registro_atual
124,2024-01-16,2,4.8892,False,2026-05-28 18:52:28.093221,,True
125,2024-01-16,2,4.8985,False,2026-05-28 18:52:28.093221,,True
126,2024-01-16,2,4.905,False,2026-05-28 18:52:28.093221,,True
127,2024-01-16,2,4.9199,False,2026-05-28 18:52:28.093221,,True
128,2024-01-16,2,4.9032,False,2026-05-28 18:52:28.093221,,True
129,2024-01-16,3,5.3219,False,2026-05-28 18:52:28.093221,,True
130,2024-01-16,3,5.3271,False,2026-05-28 18:52:28.093221,,True
131,2024-01-16,3,5.3327,False,2026-05-28 18:52:28.093221,,True
132,2024-01-16,3,5.3529,False,2026-05-28 18:52:28.093221,,True
133,2024-01-16,3,5.3347,False,2026-05-28 18:52:28.093221,,True
134,2024-01-17,1,0.043739,False,2026-05-28 18:52:28.093221,,True
135,2024-01-17,2,4.934,False,2026-05-28 18:52:28.093221,,True
136,2024-01-17,2,4.9285,False,2026-05-28 18:52:28.093221,,True
137,2024-01-17,2,4.9324,False,2026-05-28 18:52:28.093221,,True
138,2024-01-17,2,4.9418,False,2026-05-28 18:52:28.093221,,True
139,2024-01-17,2,4.9333,False,2026-05-28 18:52:28.093221,,True
140,2024-01-17,3,5.3519,False,2026-05-28 18:52:28.093221,,True
141,2024-01-17,3,5.3459,False,2026-05-28 18:52:28.093221,,True
142,2024-01-17,3,5.3507,False,2026-05-28 18:52:28.093221,,True
143,2024-01-17,3,5.3683,False,2026-05-28 18:52:28.093221,,True
144,2024-01-17,3,5.3635,False,2026-05-28 18:52:28.093221,,True
145,2024-01-18,1,0.043739,False,2026-05-28 18:52:28.093221,,True
146,2024-01-18,2,4.9254,False,2026-05-28 18:52:28.093221,,True
147,2024-01-18,2,4.9397,False,2026-05-28 18:52:28.093221,,True
148,2024-01-18,2,4.9465,False,2026-05-28 18:52:28.093221,,True
149,2024-01-18,2,4.947,False,2026-05-28 18:52:28.093221,,True
150,2024-01-18,2,4.9397,False,2026-05-28 18:52:28.093221,,True
151,2024-01-18,3,5.3569,False,2026-05-28 18:52:28.093221,,True
152,2024-01-18,3,5.3596,False,2026-05-28 18:52:28.093221,,True
153,2024-01-18,3,5.3709,False,2026-05-28 18:52:28.093221,,True
154,2024-01-18,3,5.3675,False,2026-05-28 18:52:28.093221,,True
155,2024-01-18,3,5.3596,False,2026-05-28 18:52:28.093221,,True
156,2024-01-19,1,0.043739,False,2026-05-28 18:52:28.093221,,True
157,2024-01-19,2,4.9118,False,2026-05-28 18:52:28.093221,,True
158,2024-01-19,2,4.9213,False,2026-05-28 18:52:28.093221,,True
159,2024-01-19,2,4.9275,False,2026-05-28 18:52:28.093221,,True
160,2024-01-19,2,4.9263,False,2026-05-28 18:52:28.093221,,True
161,2024-01-19,2,4.9217,False,2026-05-28 18:52:28.093221,,True
162,2024-01-19,3,5.3445,False,2026-05-28 18:52:28.093221,,True
163,2024-01-19,3,5.3534,False,2026-05-28 18:52:28.093221,,True
164,2024-01-19,3,5.3641,False,2026-05-28 18:52:28.093221,,True
165,2024-01-19,3,5.3608,False,2026-05-28 18:52:28.093221,,True
166,2024-01-19,3,5.3558,False,2026-05-28 18:52:28.093221,,True
167,2024-01-20,1,0.043739,True,2026-05-28 18:52:28.093221,,True
168,2024-01-20,2,4.9217,True,2026-05-28 18:52:28.093221,,True
169,2024-01-20,3,5.3558,True,2026-05-28 18:52:28.093221,,True
170,2024-01-21,1,0.043739,True,2026-05-28 18:52:28.093221,,True
171,2024-01-21,2,4.9217,True,2026-05-28 18:52:28.093221,,True
172,2024-01-21,3,5.3558,True,2026-05-28 18:52:28.093221,,True
173,2024-01-22,1,0.043739,False,2026-05-28 18:52:28.093221,,True
174,2024-01-22,2,4.9308,False,2026-05-28 18:52:28.093221,,True
175,2024-01-22,2,4.9436,False,2026-05-28 18:52:28.093221,,True
176,2024-01-22,2,4.9482,False,2026-05-28 18:52:28.093221,,True
177,2024-01-22,2,4.971,False,2026-05-28 18:52:28.093221,,True
178,2024-01-22,2,4.9484,False,2026-05-28 18:52:28.093221,,True
179,2024-01-22,3,5.3701,False,2026-05-28 18:52:28.093221,,True
180,2024-01-22,3,5.3836,False,2026-05-28 18:52:28.093221,,True
181,2024-01-22,3,5.3876,False,2026-05-28 18:52:28.093221,,True
182,2024-01-22,3,5.4109,False,2026-05-28 18:52:28.093221,,True
183,2024-01-22,3,5.3863,False,2026-05-28 18:52:28.093221,,True
184,2024-01-23,1,0.043739,False,2026-05-28 18:52:28.093221,,True
